taskID,trialIndex,trialStart,trialEnd,RT,choice,correct,initDirection,endDirection,presenceCP,coherence,viewingDuration,probCP,timeCP,randSeedBase,fixationOn,fixationStart,targetOn,dotsOn,dotsOff,choiceTime,targetOff,fixationOff,feedbackOn,numFrames,tocDotsOn,tocDotsOff
2,125,1211887.09257505,1211890.94573242,0.640272916294634,1,1,0,0,0,24,0.1,0.5,0.2,2466,0.125338684301823,NaN,0.718559023458511,1.93889800645411,2.05754207423888,2.69781499053352,NaN,NaN,NaN,11,1.919629347,2.033928017
2,815,1211890.94848444,1211894.96473166,0.468851661542431,1,1,0,0,0,60,0.3,0.5,0.2,9028,0.1338365834672,NaN,0.879599295323715,2.09993827855214,2.40502302418463,2.87387468572706,NaN,NaN,NaN,24,2.071643556,2.381383033
2,463,1211894.96757178,1211898.03331782,0.389270811108872,1,1,0,0,0,36,0.4,0.5,0.2,9788,0.131696309428662,NaN,0.809662411222234,1.11474715685472,1.52152681793086,1.91079762903973,NaN,NaN,NaN,29,1.092601083,1.497943855
2,52,1211898.03612268,1211902.25249516,0.507495656143874,1,1,180,0,1,12,0.5,0.5,0.2,3867,0.130182666238397,NaN,0.808148767799139,2.02848775102757,2.56672188942321,3.07421754556708,NaN,NaN,NaN,36,2.008029517,2.534168536
2,231,1211902.25531626,1211906.1765596,0.928844377864152,0,0,0,0,0,12,0.5,0.5,0.2,38,0.127187421545386,NaN,0.737356913043186,1.33057725196704,1.83807903202251,2.76692340988666,NaN,NaN,NaN,35,1.300355398,1.816903621
2,854,1211906.17938416,1211910.6467726,1.13757809670642,0,1,180,180,0,0,0.2,0.5,0.2,9361,0.13435071054846,NaN,0.761469354620203,1.9818083376158,2.18519816803746,3.32277626474388,NaN,NaN,NaN,17,1.952724867,2.162788472
2,513,1211910.64945936,1211914.34985735,0.711611408973113,1,0,0,180,1,48,0.3,0.5,0.2,7320,0.138844644650817,NaN,0.76596328872256,1.51172600057907,1.84528083400801,2.55689224298112,NaN,NaN,NaN,24,1.492867162,1.812836383
2,392,1211914.35268324,1211917.78516411,0.550318674184382,1,1,180,0,1,36,0.3,0.5,0.2,8955,0.12511534569785,NaN,0.887827210128307,1.41325093898922,1.73528483719565,2.28560351138003,NaN,NaN,NaN,25,1.394426935,1.71271354
2,18,1211917.78797686,1211920.90774841,0.708358503179625,1,0,180,180,0,24,0.2,0.5,0.2,1162,0.130355363013223,NaN,0.791372312232852,1.04560960037634,1.26200687908567,1.9703653822653,NaN,NaN,NaN,17,1.028494817,1.229538763
2,451,1211920.91044796,1211924.0250372,0.608849914046004,1,1,0,0,0,36,0.3,0.5,0.2,795,0.122548710322008,NaN,0.732718201819807,1.03780294768512,1.35894158692099,1.967791500967,NaN,NaN,NaN,23,1.02067648,1.326611087
2,264,1211924.02784702,1211927.54376856,0.477235789643601,0,1,180,180,0,60,0.2,0.5,0.2,3601,0.139309471473098,NaN,0.732529810396954,1.68168235267513,1.88507218332961,2.36230797297321,NaN,NaN,NaN,17,1.651402551,1.862204848
2,819,1211927.54646613,1211931.88589318,0.758474824251607,1,0,0,180,1,12,0.4,0.5,0.2,5288,0.128228451125324,NaN,0.789245400112122,2.00958438334055,2.42922412208281,3.18769894633442,NaN,NaN,NaN,31,1.977705119,2.39696361
2,31,1211931.88862625,1211935.40408278,0.541554654715583,1,0,0,180,1,36,0.3,0.5,0.2,8749,0.137944106012583,NaN,0.90065597044304,1.47692715702578,1.81591020780616,2.35746486252174,NaN,NaN,NaN,25,1.459203221,1.791259898
